disclosure_year,disclosure_date,transaction_date,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,party,,
2021,2021-02-25,2021-01-15,FB,Facebook Inc,purchase,"$175,001 ",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-27,--,Conn St Hsg Fin Auth Hsh Mtg F,purchase,"$175,001 ",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-08,--,Indiana Bd Bk Rev,purchase,"$175,001 ",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-14,FMS,Fresenius Med Care Ag,purchase,"$75,001 ",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-14,ACGL,Arch Cap Group Ltd,purchase,"$32,501 ",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-13,ACGL,Arch Cap Group Ltd,purchase,"$8,001 ",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-05,--,Triborough Brdg & Tunl Auth N,sale_full,"$8,001 ",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-05,--,Triborough Brdg & Tunl Auth N,sale_full,"$8,001 ",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-04,--,Purdue Uiv Ind Univ Revs,sale_full,"$8,001 ",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE,Republican,,
2021,2021-02-25,2021-01-04,--,Oregon St Hsg & Cmnty Svcs Dep,sale_full,"$8,001 ",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,FALSE,Republican,,
