name,parent,value
ICFI,Origin,8001
IDA,Origin,8001
LNC,Origin,8001
NATI,Origin,8001
NWL,Origin,8001
NWSA,Origin,8001
NWS,Origin,8001
PAYX,Origin,8001
PEB,Origin,8001
PRGO,Origin,8001
PFG,Origin,8001
PEG,Origin,8001
PVH,Origin,8001
STE,Origin,8001
TTWO,Origin,8001
AMTD,Origin,8001
UHS,Origin,8001
VC,Origin,8001
WBS,Origin,8001
WELL,Origin,8001
LEVI,Origin,8001
FLGB,Origin,8001
IEUR,Origin,8001
EFG,Origin,8001
XLE,Origin,8001
FIX,Origin,8001
BDN,Origin,8001
FORD,Origin,8001
CISIX,Origin,8001
CNS,Origin,8001
SHYF,Origin,8001
FCGAX,Origin,8001
FNGZX,Origin,8001
FLCO,Origin,8001
FLCB,Origin,8001
FLQL,Origin,8001
FSSAX,Origin,8001
FVADX,Origin,8001
GCIIX,Origin,8001
GOVT,Origin,8001
OMBIX,Origin,8001
TDADX,Origin,8001
VWO,Origin,8001
APO,Origin,8001
RTN,Origin,8001
TWST,Origin,8001
ACIW,Origin,8001
DCI,Origin,8001
ACST,Origin,8001
CTRM,Origin,8001
RHHBF,Origin,8001
ORMP,Origin,8001
CRSP,Origin,8001
GXO,Origin,8001
GPS,Origin,8001
LCID,Origin,8001
WPC,Origin,8001
ETWO.W,Origin,8001
GFN,Origin,8001
