ticker,
BHI," $8,001.00 "
CZR, $-   
CWH," $8,001.00 "
CCC, $-   
COMM," $16,002.00 "
CWK, $-   
ELAN," $24,003.00 "
LEA," $8,001.00 "
LITE," $8,001.00 "
REZI, $-   
TNL," $8,001.00 "
VICI, $-   
WHR," $40,502.00 "
IT," $64,505.00 "
HEI," $8,001.00 "
BAM," $32,501.00 "
WY," $8,001.00 "
HBI, $-   
LARCX, $-   
AI, $-   
CDNA," $56,504.00 "
CMLFU, $-   
DASH," $72,506.00 "
EVBG," $8,001.00 "
HOLX," $56,504.00 "
QDEL," $129,010.00 "
MTBC, $-   
ICLR, $-   
PRGS," $16,002.00 "
PTC, $-   
VUZI," $75,001.00 "
FEDX, $-   
OGN," $16,002.00 "
BLUE," $16,002.00 "
BR," $8,001.00 "
ETR," $8,001.00 "
FLIR," $56,007.00 "
RAD," $8,001.00 "
WORK," $391,003.00 "
TRUP," $1,566,008.00 "
MKL," $48,006.00 "
FPEI, $-   
VEA," $16,002.00 "
RBLX," $97,006.00 "
H," $8,001.00 "
VMW," $8,001.00 "
ALK," $431,505.00 "
LUV," $633,019.00 "
DECK," $32,004.00 "
CMP," $32,004.00 "
HSHCY, $-   
HTLD," $8,001.00 "
HLIO," $8,001.00 "
NSC," $32,004.00 "
MAIN," $32,501.00 "
FTTGLX, $-   
BATRA," $8,001.00 "
FWONK, $-   
SRLP," $757,504.00 "
AKAM," $48,503.00 "
ATO," $16,002.00 "
ED," $24,003.00 "
EA," $16,002.00 "
MDLZ," $40,005.00 "
OTIS," $80,507.00 "
XLNX," $8,001.00 "
FDN," $107,502.00 "
CLF," $32,501.00 "
ADDYY," $56,504.00 "
BPHSPX," $32,501.00 "
MCO," $24,003.00 "
VRTX," $24,003.00 "
WEC," $32,004.00 "
APTV, $-   
NLY, $-   
TDY," $16,002.00 "
ABMD," $24,003.00 "
BIDU," $439,506.00 "
CENT," $40,005.00 "
CENTA," $16,002.00 "
CRY," $8,001.00 "
DNTUY," $131,505.00 "
DRQ," $24,003.00 "
PRIM," $16,002.00 "
SSL," $24,003.00 "
HOFV, $-   
ROKU," $252,514.00 "
ANY," $32,501.00 "
RIVN," $8,001.00 "
FAS," $138,005.00 "
AZTA," $16,002.00 "
BCPC," $16,002.00 "
CCXI, $-   
XNGSY, $-   
ITCI, $-   
MTX, $-   
XP, $-   
CSL," $48,503.00 "
AGN," $40,005.00 "
AVT," $8,001.00 "
BG," $8,001.00 "
HPQ," $24,003.00 "
KEY," $32,004.00 "
MEOH," $8,001.00 "
SNOXX," $148,004.00 "
AIR," $8,001.00 "
AMG," $16,002.00 "
ALGT," $24,003.00 "
BXP," $24,003.00 "
BHF," $8,001.00 "
GOOS," $56,504.00 "
CPRI, $-   
CAH, $-   
CF," $24,003.00 "
COTY," $8,001.00 "
EXC," $32,501.00 "
EXLS," $191,003.00 "
FLEX," $24,003.00 "
GBCI, $-   
GLOB," $16,002.00 "
HRB," $16,002.00 "
HOG," $8,001.00 "
HELE," $24,003.00 "
HPE," $8,001.00 "
HST," $40,005.00 "
HBAN," $8,001.00 "
ICFI," $8,001.00 "
IDA, $-   
IP," $40,502.00 "
IRM," $64,008.00 "
JEF," $8,001.00 "
JBT," $16,002.00 "
KIM," $8,001.00 "
LEN," $733,004.00 "
LNC," $8,001.00 "
LAD," $32,004.00 "
MGM," $32,501.00 "
NHI," $75,001.00 "
NATI," $8,001.00 "
NWL," $32,004.00 "
NWSA," $8,001.00 "
NWS," $8,001.00 "
NCLH," $8,001.00 "
ON," $8,001.00 "
PAYX," $48,503.00 "
PEB," $32,004.00 "
PRGO, $-   
PFG," $8,001.00 "
PRU," $56,007.00 "
PEG," $8,001.00 "
PVH, $-   
PWR, $-   
RCL," $8,001.00 "
SLG," $8,001.00 "
STAG, $-   
STE," $8,001.00 "
TTWO, $-   
AMTD," $24,003.00 "
BK," $131,505.00 "
DSGX, $-   
URI," $16,002.00 "
UHS, $-   
UNM," $8,001.00 "
VC, $-   
VNO," $32,004.00 "
GWW," $8,001.00 "
WBS," $32,004.00 "
WELL," $8,001.00 "
LEVI," $8,001.00 "
WPX, $-   
UBS," $697,509.00 "
OIH," $8,001.00 "
DGRO, $-   
CWB," $182,503.00 "
XLV," $8,001.00 "
PSDTX," $75,001.00 "
FLGB, $-   
SPHB," $8,001.00 "
IEUR, $-   
EFG," $16,002.00 "
XLE," $32,501.00 "
AB, $-   
SEA," $16,002.00 "
FIX, $-   
ROST," $32,004.00 "
IQVA," $8,001.00 "
NUSC," $8,001.00 "
IWM," $24,003.00 "
MPC," $24,003.00 "
CVI," $32,501.00 "
CATM," $191,003.00 "
ESI, $-   
LTHM," $75,001.00 "
THR," $75,001.00 "
WK, $-   
BDN," $16,002.00 "
FORD, $-   
NVCR," $8,001.00 "
CISIX, $-   
TT," $40,005.00 "
QS," $8,001.00 "
LZ," $8,001.00 "
INMD," $16,002.00 "
BXMT," $91,003.00 "
PBA, $-   
ALb," $16,002.00 "
SFTBY," $16,002.00 "
DTM," $8,001.00 "
SSB," $107,502.00 "
MSBHY," $65,002.00 "
LNT, $-   
CRNC," $16,002.00 "
CNS," $8,001.00 "
DAVA," $24,003.00 "
ERIC," $8,001.00 "
NICE," $24,003.00 "
PRAH," $8,001.00 "
SUPN, $-   
SHYF, $-   
VRTU," $32,004.00 "
PTEN," $8,001.00 "
FCGAX, $-   
FNGZX, $-   
FLCO, $-   
